Organization_ID,Industry,Company_Size,Employee_Count,AI_Tool,Adoption_Year,AI_Adoption_Score,Monthly_AI_Users,Productivity_Gain_Percent,Satisfaction_Score,AI_Investment_USD,Annual_Cost_Savings_USD,ROI_Percent,Training_Hours_Per_Employee,Automation_Level_Percent
ORG0246,Retail,Medium,899,Cursor,2020,75,301,28.67,2.9,309455.32,514634.71,66.3,72,71
ORG0247,Telecom,Small,199,Claude,2023,76,102,40.04,5.6,38130.37,44321.9,16.24,62,69
ORG0248,Marketing,Medium,527,GitHub Copilot,2025,81,123,46.01,5.5,119752.12,281035.66,134.68,23,92
ORG0249,Retail,Small,24,ChatGPT,2022,79,7,43.57,6.3,4404.74,10000.9,127.05,5,83
ORG0250,IT,Large,5401,Perplexity,2024,100,3019,37.14,5.5,1197415.69,2381145.65,98.86,97,99
ORG0251,Education,Small,126,Claude,2022,71,47,49.12,5.8,13160.0,27452.67,108.61,71,84
ORG0252,IT,Large,1873,Cursor,2025,95,1212,45.26,5.1,272134.4,341638.87,25.54,8,90
ORG0253,Marketing,Medium,411,Midjourney,2022,65,247,37.94,4.8,113686.56,265839.3,133.84,92,55
ORG0254,Finance,Medium,714,GitHub Copilot,2026,97,325,67.93,9.8,77765.02,132946.79,70.96,31,91
ORG0255,Manufacturing,Small,59,Jasper,2024,56,31,21.95,1.4,8532.87,12061.3,41.35,57,64
ORG0256,Healthcare,Large,9912,Cursor,2024,91,4611,41.92,4.7,3150534.5,6781558.26,115.25,41,76
ORG0257,Education,Medium,837,Claude,2022,59,526,34.12,4.8,121672.06,370904.09,204.84,89,68
ORG0258,Education,Medium,710,Cursor,2025,70,146,48.97,4.6,59427.26,177414.29,198.54,29,78
ORG0259,Finance,Large,6124,Gemini,2025,86,1406,47.36,6.7,546857.76,1625635.95,197.27,77,75
ORG0260,Manufacturing,Small,139,Gemini,2022,75,76,34.38,4.1,46710.43,142057.49,204.12,41,70
ORG0261,Education,Large,8585,GitHub Copilot,2024,89,4850,47.94,5.7,2869091.0,4528459.21,57.84,45,78
ORG0262,Manufacturing,Large,8501,ChatGPT,2019,56,3218,25.0,3.7,1004295.92,2173358.21,116.41,30,66
ORG0263,Education,Small,125,Perplexity,2023,65,20,45.14,5.6,33428.11,60257.24,80.26,91,61
ORG0264,Healthcare,Large,6705,ChatGPT,2026,79,3586,31.93,3.8,762276.12,1828822.06,139.92,32,72
ORG0265,Retail,Large,8215,ChatGPT,2023,90,4951,65.46,9.0,1640621.64,5200413.19,216.98,27,93
ORG0266,IT,Medium,387,Gemini,2024,96,58,51.1,6.4,128169.86,148209.02,15.63,10,100
ORG0267,Education,Small,63,ChatGPT,2024,49,33,34.75,3.0,6503.8,10268.9,57.89,76,55
ORG0268,Finance,Large,1094,Midjourney,2023,87,202,52.89,6.0,191781.99,220359.62,14.9,33,99
ORG0269,Telecom,Large,6655,Claude,2024,86,2080,46.73,5.6,934288.68,1630623.15,74.53,84,78
ORG0270,Manufacturing,Small,41,Cursor,2020,57,20,37.66,4.4,8225.63,17420.94,111.79,22,63
ORG0271,Telecom,Large,7331,Claude,2021,99,1454,60.4,8.8,1800649.42,5005786.27,178.0,84,90
ORG0272,Education,Small,108,ChatGPT,2025,52,37,38.43,5.4,30847.35,84096.94,172.62,74,45
ORG0273,Healthcare,Medium,750,Gemini,2025,68,421,43.37,5.8,41587.41,86899.54,108.96,70,64
ORG0274,Education,Small,172,ChatGPT,2025,49,41,23.55,3.4,9383.08,16421.57,75.01,50,55
ORG0275,Marketing,Medium,778,ChatGPT,2020,65,333,25.26,3.8,141042.49,436276.36,209.32,72,72
ORG0276,Education,Large,1387,Gemini,2020,69,870,37.94,5.6,466636.23,729916.74,56.42,35,74
ORG0277,Marketing,Medium,764,GitHub Copilot,2024,82,314,56.33,6.7,201498.79,310825.19,54.26,76,89
ORG0278,Retail,Small,20,Claude,2026,53,9,28.57,2.8,2121.72,3933.04,85.37,89,58
ORG0279,Telecom,Large,2912,Perplexity,2023,91,1548,42.05,4.9,271936.27,363337.52,33.61,53,100
ORG0280,Marketing,Large,2238,GitHub Copilot,2019,82,1291,59.2,7.3,514209.93,572960.62,11.43,53,69
ORG0281,Retail,Medium,478,GitHub Copilot,2025,76,141,42.3,4.8,105692.93,228328.16,116.03,96,76
ORG0282,IT,Medium,281,Cursor,2023,100,98,63.43,7.9,49421.88,117318.96,137.38,7,100
ORG0283,Manufacturing,Medium,777,Midjourney,2024,50,375,26.78,3.2,70820.93,157015.11,121.71,94,46
ORG0284,Healthcare,Large,3978,Cursor,2022,75,2362,27.82,2.9,738692.49,2346129.95,217.61,6,63
ORG0285,Manufacturing,Medium,921,ChatGPT,2025,74,215,28.27,4.4,276322.3,480183.74,73.78,86,59
ORG0286,Telecom,Large,6793,Gemini,2025,88,3047,54.29,6.7,529545.61,650488.6,22.84,97,90
ORG0287,IT,Medium,869,GitHub Copilot,2020,96,355,50.05,8.1,138586.66,241784.28,74.46,52,98
ORG0288,Finance,Large,2856,ChatGPT,2024,100,503,55.29,7.4,818998.96,2524635.66,208.26,18,94
ORG0289,Manufacturing,Medium,699,Cursor,2024,49,109,27.14,4.5,90755.32,177339.97,95.4,54,37
ORG0290,Telecom,Large,6041,ChatGPT,2024,91,3483,64.94,8.0,523192.39,1554898.67,197.19,34,100
ORG0291,IT,Medium,576,ChatGPT,2023,94,216,51.14,7.4,86486.47,110164.89,27.38,92,85
ORG0292,Marketing,Medium,204,Midjourney,2023,67,120,29.86,3.7,45817.88,101841.97,122.28,23,54
ORG0293,Healthcare,Medium,803,Gemini,2024,91,411,34.24,5.1,140639.3,216291.29,53.79,67,93
ORG0294,Telecom,Small,192,Claude,2021,80,76,47.11,6.4,29227.49,75796.93,159.33,20,81
ORG0295,Manufacturing,Medium,681,ChatGPT,2021,69,419,49.09,6.2,147444.34,183699.25,24.59,74,75
ORG0296,Marketing,Large,5893,ChatGPT,2024,80,1877,36.33,4.4,524238.83,1522752.38,190.47,38,93
ORG0297,Education,Small,148,Claude,2025,45,58,21.21,1.9,36442.9,67401.95,84.95,42,36
ORG0298,Marketing,Medium,859,ChatGPT,2026,66,375,48.68,4.3,170092.23,321102.32,88.78,96,63
ORG0299,Healthcare,Large,4814,GitHub Copilot,2025,92,1591,61.15,7.9,1358083.71,3788578.3,178.97,55,100
ORG0300,Retail,Medium,940,GitHub Copilot,2024,78,243,53.06,7.1,186470.59,298538.29,60.1,19,77
ORG0301,Marketing,Large,8134,ChatGPT,2024,84,4571,42.29,6.8,770687.63,1900909.64,146.65,97,76
ORG0302,Manufacturing,Medium,334,Gemini,2023,79,160,46.09,4.6,111237.26,245247.96,120.47,53,69
ORG0303,Finance,Medium,959,Perplexity,2023,94,556,33.59,3.7,139021.87,433412.93,211.76,48,85
ORG0304,IT,Large,2573,Claude,2023,98,1114,71.19,9.0,895271.61,1871669.17,109.06,22,95
ORG0305,Healthcare,Medium,324,Cursor,2024,87,58,63.98,7.6,62765.27,198151.43,215.7,54,87
ORG0306,Manufacturing,Medium,391,Cursor,2026,70,207,25.28,1.9,38014.77,98324.55,158.65,25,75
ORG0307,Healthcare,Medium,821,Cursor,2024,71,419,38.5,3.5,72204.97,207261.52,187.05,90,74
ORG0308,Marketing,Medium,433,GitHub Copilot,2021,88,105,34.3,4.3,123491.82,274354.35,122.16,53,78
ORG0309,Telecom,Small,115,ChatGPT,2023,84,19,44.37,6.5,34339.42,44410.14,29.33,74,89
ORG0310,Retail,Medium,280,GitHub Copilot,2022,80,147,39.19,4.4,46965.05,124741.01,165.6,27,67
ORG0311,Manufacturing,Small,162,Claude,2019,65,35,42.26,6.0,18950.89,45754.9,141.44,85,58
ORG0312,Healthcare,Small,119,Claude,2021,72,52,52.2,7.5,40771.08,124755.52,205.99,37,62
ORG0313,Education,Small,107,GitHub Copilot,2023,74,56,26.95,3.4,25164.57,37465.22,48.88,19,68
ORG0314,IT,Medium,347,Gemini,2023,91,95,67.73,7.3,82502.61,152476.98,84.81,64,90
ORG0315,Education,Large,9274,Gemini,2023,87,2795,49.37,6.3,1675474.39,4137238.14,146.93,20,81
ORG0316,Healthcare,Small,101,GitHub Copilot,2025,78,28,56.93,7.2,22392.32,29108.99,30.0,44,73
ORG0317,Retail,Large,1696,Jasper,2022,75,596,54.18,7.0,517484.86,1425730.48,175.51,44,78
ORG0318,Telecom,Medium,517,GitHub Copilot,2020,96,218,45.12,4.9,46554.4,139593.47,199.85,70,100
ORG0319,Finance,Medium,571,Claude,2021,86,173,54.68,6.9,190517.69,346525.75,81.89,99,93
ORG0320,Marketing,Small,51,ChatGPT,2026,77,30,46.56,6.5,3568.36,11063.0,210.03,78,64
ORG0321,Retail,Medium,221,Midjourney,2023,78,74,44.26,5.8,34119.47,104116.4,205.15,63,85
ORG0322,Marketing,Small,158,GitHub Copilot,2025,83,93,47.73,4.7,40312.3,119711.69,196.96,17,85
ORG0323,Finance,Small,126,ChatGPT,2024,73,59,50.02,6.9,9206.85,19865.38,115.77,12,85
ORG0324,Retail,Medium,822,GitHub Copilot,2022,75,141,52.13,6.5,158947.72,273555.99,72.1,57,81
ORG0325,Manufacturing,Small,193,ChatGPT,2024,41,42,25.08,3.8,55580.52,163600.75,194.35,24,42
ORG0326,Healthcare,Medium,405,Perplexity,2025,70,114,27.75,4.0,31845.98,79489.91,149.61,99,61
ORG0327,Marketing,Small,152,ChatGPT,2025,56,88,22.73,2.4,13222.73,17860.97,35.08,16,53
ORG0328,Retail,Small,56,Claude,2026,54,8,35.43,2.9,2984.77,9181.07,207.6,75,47
ORG0329,Manufacturing,Small,151,Cursor,2024,71,24,47.69,7.7,17539.36,35192.23,100.65,61,78
ORG0330,Healthcare,Small,173,Perplexity,2023,63,30,22.5,2.5,55730.07,157209.77,182.09,19,73
ORG0331,Manufacturing,Medium,447,ChatGPT,2025,51,108,33.22,4.8,100966.29,166436.66,64.84,92,58
ORG0332,Manufacturing,Medium,841,Jasper,2019,48,322,23.76,3.1,86734.09,138071.81,59.19,88,62
ORG0333,Finance,Medium,263,Gemini,2025,78,108,30.38,4.9,62326.29,189218.48,203.59,51,88
ORG0334,Manufacturing,Small,173,Perplexity,2022,57,91,39.88,6.0,10833.83,21411.51,97.64,51,47
ORG0335,Healthcare,Medium,317,Claude,2025,85,114,63.41,6.5,72690.99,90472.74,24.46,53,90
ORG0336,Retail,Large,8033,ChatGPT,2025,89,2463,57.16,6.9,1751527.57,5539091.78,216.24,93,74
ORG0337,Telecom,Medium,623,GitHub Copilot,2024,83,166,54.06,6.7,197022.65,361267.4,83.36,63,70
ORG0338,Marketing,Small,147,GitHub Copilot,2024,57,51,40.42,5.4,42942.25,89383.88,108.15,86,57
ORG0339,IT,Large,5444,Gemini,2024,95,1115,67.2,8.0,1885412.62,5343428.45,183.41,14,99
ORG0340,Finance,Medium,236,ChatGPT,2021,85,141,54.33,4.9,43586.58,79177.59,81.66,54,91
ORG0341,Marketing,Small,185,Gemini,2026,62,107,42.76,5.0,15166.63,44300.03,192.09,81,62
ORG0342,Education,Medium,405,Midjourney,2024,60,68,24.05,3.0,128332.58,377875.49,194.45,76,73
ORG0343,Marketing,Small,194,ChatGPT,2024,77,47,29.56,2.1,66443.7,184840.07,178.19,30,80
ORG0344,Retail,Medium,973,Cursor,2025,59,420,22.8,2.3,189230.43,483732.54,155.63,71,59
ORG0345,Manufacturing,Medium,239,Perplexity,2024,63,115,46.13,6.6,38989.47,56855.68,45.82,26,57
ORG0346,Telecom,Small,79,GitHub Copilot,2025,89,12,58.83,7.6,10723.62,17126.64,59.71,73,98
ORG0347,Telecom,Small,67,Claude,2021,81,11,36.43,4.2,14113.56,31399.27,122.48,31,67
ORG0348,Telecom,Medium,500,Cursor,2021,89,298,64.07,9.4,139041.47,242340.87,74.29,15,92
ORG0349,Marketing,Small,52,ChatGPT,2022,64,12,22.78,2.7,10878.96,15800.62,45.24,63,49
ORG0350,Healthcare,Medium,321,ChatGPT,2025,80,104,44.7,4.5,87455.09,256959.7,193.82,89,79
